address,coordinates
"608 Cardinal Dr, Lexington, NC 27292","{'latitude': 35.7931, 'longitude': -80.231606}"
"1059 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.7864, 'longitude': -80.2724}"
"106 Trafalgar Dr, Lexington, NC 27292","{'latitude': 35.788494, 'longitude': -80.244545}"
"106 Trafalgar Dr #4, Lexington, NC 27292","{'latitude': 35.788445, 'longitude': -80.24449}"
"122 Adam Ct, Lexington, NC 27292","{'latitude': 35.78466, 'longitude': -80.27988}"
"490 Bill Lohr Rd, Lexington, NC 27292","{'latitude': 35.769554, 'longitude': -80.26542}"
"7 Glendale Rd, Lexington, NC 27292","{'latitude': 35.773323, 'longitude': -80.258385}"
"285 Brown St, Lexington, NC 27292","{'latitude': 35.783253, 'longitude': -80.263565}"
"112 Highgate Ln, Lexington, NC 27292","{'latitude': 35.793335, 'longitude': -80.251144}"
"112 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.774834, 'longitude': -80.25669}"
"116 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.77473, 'longitude': -80.25604}"
"106 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.774845, 'longitude': -80.25737}"
"114 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.774834, 'longitude': -80.25644}"
"108 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.774864, 'longitude': -80.25714}"
"110 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.774826, 'longitude': -80.256874}"
"404 Pete Fritts Rd, Lexington, NC 27292","{'latitude': 35.78592, 'longitude': -80.2248}"
"1204 Fairview Dr, Lexington, NC 27292","{'latitude': 35.794186, 'longitude': -80.254105}"
"346 Pete Fritts Rd, Lexington, NC 27292","{'latitude': 35.78568, 'longitude': -80.22209}"
"450 Owens Rd, Lexington, NC 27292","{'latitude': 35.76564, 'longitude': -80.26983}"
"450 Owens Rd #9B, Lexington, NC 27292","{'latitude': 35.76588, 'longitude': -80.269646}"
"Owens Rd, Lexington, NC 27292","{'latitude': 35.76477, 'longitude': -80.26566}"
"0 Owens Rd, Lexington, NC 27292","{'latitude': 35.766006, 'longitude': -80.27275}"
"28 Edna St, Lexington, NC 27292","{'latitude': 35.791817, 'longitude': -80.26346}"
"406 Rogers Rd, Lexington, NC 27292","{'latitude': 35.7645, 'longitude': -80.24648}"
"200 Acacia Cir, Lexington, NC 27292","{'latitude': 35.79066, 'longitude': -80.237755}"
"570 Brown St, Lexington, NC 27292","{'latitude': 35.78427, 'longitude': -80.26865}"
"210 Acacia Cir, Lexington, NC 27295","{'latitude': 35.790527, 'longitude': -80.23905}"
"1130 Fairview Dr, Lexington, NC 27292","{'latitude': 35.79537, 'longitude': -80.25447}"
"201 Cedar Lane Dr, Lexington, NC 27292","{'latitude': 35.77776, 'longitude': -80.26424}"
"465 Bill Lohr Rd, Lexington, NC 27292","{'latitude': 35.7687, 'longitude': -80.264984}"
"1271 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.77759, 'longitude': -80.220474}"
"1271 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.77698, 'longitude': -80.220566}"
"1905 Southview Rd, Lexington, NC 27292","{'latitude': 35.772976, 'longitude': -80.25837}"
"272 Montclair Dr, Lexington, NC 27292","{'latitude': 35.794556, 'longitude': -80.27331}"
"1502 Cotton Grove Rd, Lexington, NC 27292","{'latitude': 35.782986, 'longitude': -80.25967}"
"382 Bill Lohr Rd, Lexington, NC 27292","{'latitude': 35.769684, 'longitude': -80.263374}"
"1105 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.785786, 'longitude': -80.27263}"
"125 Magnolia Rd, Lexington, NC 27292","{'latitude': 35.790108, 'longitude': -80.2454}"
"109 Highgate Ln, Lexington, NC 27292","{'latitude': 35.79385, 'longitude': -80.25195}"
"221 Brown St, Lexington, NC 27292","{'latitude': 35.78305, 'longitude': -80.262634}"
"110 Arthur Murph Dr, Lexington, NC 27292","{'latitude': 35.782623, 'longitude': -80.265396}"
"990 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.78767, 'longitude': -80.27363}"
"990 Old Linwood Rd #122, Lexington, NC 27292","{'latitude': 35.78767, 'longitude': -80.27362}"
"188 Quail Ridge Dr, Lexington, NC 27292","{'latitude': 35.78059, 'longitude': -80.27422}"
"331 Bill Medlin Rd, Lexington, NC 27292","{'latitude': 35.780445, 'longitude': -80.268555}"
"259 Montclair Dr, Lexington, NC 27292","{'latitude': 35.79432, 'longitude': -80.27299}"
"380 Oakwood Rd, Lexington, NC 27292","{'latitude': 35.768116, 'longitude': -80.21684}"
"0 Fairfax Rd, Lexington, NC 27292","{'latitude': 35.780567, 'longitude': -80.25015}"
"1265 Fairview Dr, Lexington, NC 27292","{'latitude': 35.785366, 'longitude': -80.25978}"
"115 Cedar Lane Dr, Lexington, NC 27292","{'latitude': 35.777798, 'longitude': -80.26278}"
"1295 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.777332, 'longitude': -80.22077}"
"Ramona St, Lexington, NC 27292","{'latitude': 35.764, 'longitude': -80.2651}"
"156 Paul St, Lexington, NC 27292","{'latitude': 35.76431, 'longitude': -80.26795}"
"134 Cullen Ct, Lexington, NC 27292","{'latitude': 35.783936, 'longitude': -80.27843}"
"700 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.79327, 'longitude': -80.27797}"
"1 Edna St, Lexington, NC 27292","{'latitude': 35.794556, 'longitude': -80.26521}"
"511 Queens Dr, Lexington, NC 27292","{'latitude': 35.794075, 'longitude': -80.2272}"
"65AC Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.780922, 'longitude': -80.278656}"
"1305 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.783382, 'longitude': -80.27448}"
"1305 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.783085, 'longitude': -80.27406}"
"Twin Acres Dr, Lexington, NC 27292","{'latitude': 35.79379, 'longitude': -80.24318}"
