Name,Title,Total students,Reviews,Udemy link,Social links
Dhananjay Kulkarni,"Sustainability Trainer and Consultant, PGDESD,EM (IISc), BE","4,426","1,832",https://www.udemy.com/user/dhananjay-sanjeev-kulkarni/,"['https://www.youtube.com/c/SustainabilitySimplyPut', 'https://www.facebook.com/https://www.facebook.com/groups/453505579069856', 'https://linkedin.com/https://www.linkedin.com/in/dhananjay-kulkarni-2294b8145', 'https://www.youtube.com/https://www.youtube.com/c/SustainabilitySimplyPut']"
Dr. G. Day Richardson,Physician (M.D.) and Educator (Ed.M),"16,288","2,256",https://www.udemy.com/user/gerald-richardson-10/,"['https://www.middaytherapy.com', 'https://twitter.com/subeezycom', 'https://www.facebook.com/subeezycom']"
Thomas Winderl,Senior Advisor for Monitoring and Evaluation,"9,578","1,798",https://www.udemy.com/user/thomas-winderl/,"['http://results-lab.com', 'https://twitter.com/thomaswinderl', 'https://linkedin.com/in/thomaswinderl/']"
Britton Spader,Certified Flight Instructor,"5,819","1,784",https://www.udemy.com/user/britton-spader/,[]
Dr. Najeeb Lectures,World's Most Popular Medical Lectures.,"11,450","1,401",https://www.udemy.com/user/dr-najeeb-lectures/,"['https://www.drnajeeblectures.com', 'https://twitter.com/drnajeeb', 'https://www.facebook.com/drnajeeb', 'https://linkedin.com/in/drnajeeb', 'https://www.youtube.com/doctornajeeb']"
Engr. Ahmed Mahdy,Electrical Power Engineer and Researcher,"49,026","6,894",https://www.udemy.com/user/ahmed-ahmed-9/,"['https://www.khadijaacademy.com/p/khadija-academy-student-membership', 'https://twitter.com/AcademyKhadija', 'https://linkedin.com/in/ahmed-mahdy-7879ab102', 'https://www.youtube.com/channel/UCwJ4Dv-AqT8Ei-k_0PLv8ZQ?sub_confirmation=1']"
Tannia Suárez,Business English Coach,"25,832","1,169",https://www.udemy.com/user/tannia-suarez/,"['https://www.tanniasuarez.com', 'https://twitter.com/asktannia', 'https://www.facebook.com/tanniasuarez504', 'https://linkedin.com/in/tanniasuarez', 'https://www.youtube.com/tanniasuarez']"
Akshay Kamath,B.E [ Civil Engineering ] MTech [ Structural Engineering ],"83,644","7,438",https://www.udemy.com/user/akshay-2633/,"['https://www.udemy.com/user/akshay-2633/', 'https://www.facebook.com/akshay.kamath.79', 'https://linkedin.com/in/akshay-kamath-263397a3/', 'https://www.youtube.com/channel/UCcU8NO_op8RMzRwbx5hB0nw']"
N.T. Wright,Professor,"123,594","28,618",https://www.udemy.com/user/nicholasthomaswright/,[]
Hussien Hafez,"PhD researcher Aerospace Engineering Dept., UMD","5,753","1,126",https://www.udemy.com/user/hussien-hafez-2/,"['https://www.facebook.com/https://www.facebook.com/SIM-courses-503865440153299', 'https://linkedin.com/hussien hafez']"
Ahilan Chandran,"Educator, Investor, Publisher, Course/Content Creator","8,797","2,372",https://www.udemy.com/user/ahilan-8/,['https://www.youtube.com/channel/UCKj76MhkDabb1dFNG1QFlcA']
Jake Wolinsky,ESL Lecturer at an American university Language Academy,"6,808","1,269",https://www.udemy.com/user/jakewolinsky/,[]
Sunitha B,Certified Medical Coder,"10,823","1,627",https://www.udemy.com/user/bsunitha/,[]
Lluís Foreman - ValueKnow,Aerospace Engineer,"43,587","7,780",https://www.udemy.com/user/lluis-foreman/,"['https://valueknow.com', 'https://linkedin.com/company/valueknow']"
"Jesse Gorter, Energy Engineer",Renewable Energy Engineer,"4,750","1,886",https://www.udemy.com/user/jesse-gorter-3/,"['https://www.facebook.com/solarsolution.co', 'https://linkedin.com/company/solarsolutionco', 'https://www.youtube.com/solarsolution']"
nkaizu lectures,Startup education company,"5,794","1,067",https://www.udemy.com/user/nkaizulectures/,['https://www.youtube.com/https://www.youtube.com/nkaizu']
Rafik Nasr,Arabic Language Teacher,"12,166","1,264",https://www.udemy.com/user/rafik-64/,[]
"Dillon March, MA","French, Spanish, Italian Instructor & Language Lover","114,596","2,389",https://www.udemy.com/user/dillonmarch/,"['https://www.instagram.com/travelling_linguist/', 'https://twitter.com/travel_linguist', 'https://www.facebook.com/travellinglinguist', 'https://www.youtube.com/c/TheTravellingLinguist']"
"James Castleden, MA Applied Linguistics & DELTA","English Language Teacher, Former IELTS examiner","21,522","3,620",https://www.udemy.com/user/james-castleden/,"['http://www.ieltsstepbystep.co.uk', 'https://twitter.com/IELTSstepbystep', 'https://www.youtube.com/jamiecastleden']"
Anthony Metivier,Bestselling Memory Improvement Author,"40,836","2,718",https://www.udemy.com/user/anthonymetivier/,"['http://www.magneticmemorymethod.com', 'https://twitter.com/AnthonyMetivier', 'https://www.facebook.com/pages/Anthony-Metivier/480537711995886', 'https://www.youtube.com/channel/UCdIwC3d4CRjrrQdaqZaNBpA']"
Telly Frias Jr,Lecturer,"4,165","1,122",https://www.udemy.com/user/telly-10/,['https://www.youtube.com/user/tellyjr100']
SG Pharma Trainings,"Learn, Perform & Achieve","7,418","1,559",https://www.udemy.com/user/srikanth-gorantla-5/,"['https://www.sgpharmatrainings.com/', 'https://www.facebook.com/https://www.facebook.com/profile.php?id=100092755822172', 'https://linkedin.com/https://www.linkedin.com/company/sg-pharma-trainings/', 'https://www.youtube.com/https://www.youtube.com/channel/UC8U2P7UA9IKKLws_JnFjPKA']"
A V Krishnan,"VP of Software Engineering, Lifelong learner","5,934","1,038",https://www.udemy.com/user/a-v-krishnan/,[]
Dr. Tina Udoji,Founder and CEO of the Chelis Group in Nigeria.,"3,823","1,167",https://www.udemy.com/user/chelis-school-consultancy/,"['https://www.drtinaudoji.com', 'https://www.facebook.com/drtinaudoji', 'https://linkedin.com/in/dr-tina-udoji-46852044']"
Phil Ebiner,"Top-Rated Instructor, 2.5 Million+ Students","2,926,249","426,960",https://www.udemy.com/user/philipebiner2/,"['http://www.videoschool.com', 'https://twitter.com/philebiner', 'https://www.facebook.com/VideoSchoolOnline', 'https://linkedin.com/pub/philip-ebiner/13/284/67', 'https://www.youtube.com/videoschoolonline']"
Logan Susnick,"Audio/video professional, CELTA certified English instructor","5,120","1,155",https://www.udemy.com/user/logansusnick/,[]
Julia Krist,German Teacher & Online Course Creator,"89,596","12,500",https://www.udemy.com/user/julia-krist/,"['https://online-deutschakademie.com', 'https://www.facebook.com/germanteachergermanjulie']"
John Peterson,Green Data Center Guide,"16,599","7,272",https://www.udemy.com/user/johnpeterson25/,"['http://greendatacenterguide.com', 'https://twitter.com/GreenDCman', 'https://www.facebook.com/Facebook Profile', 'https://linkedin.com/in/greendcguide', 'https://www.youtube.com/Youtube Profile']"
Alan Y,Big Data Professional,"16,819","1,631",https://www.udemy.com/user/heng-yue/,"['https://www.facebook.com/adam.yue.5', 'https://linkedin.com/https://www.linkedin.com/in/alan-yueh/']"
Kamil Pakula,Here to share what I know.,"16,863","3,185",https://www.udemy.com/user/kamil-pakula/,"['http://www.prosperocoder.com', 'https://www.youtube.com/c/ProsperoCoder']"
Dr. Bev Knox,Psychology Professor,"8,625","2,083",https://www.udemy.com/user/bev-knox/,"['http://www.BevKnox.com', 'https://twitter.com/BevKnoxFabulous', 'https://www.youtube.com/Dr. Bev Knox']"
"André Klapper, PhD","Researcher, Neuroscientist, Psychologist","27,829","4,889",https://www.udemy.com/user/andre-klapper/,['https://linkedin.com/in/apklapper/']
Chemical Engineering Guy,Just a Guy teaching Chemical Engineering Online!,"32,274","5,967",https://www.udemy.com/user/emmanuelortega2/,"['http://www.ChemicalEngineeringGuy.com', 'https://www.facebook.com/chemical.engineering.guy', 'https://www.youtube.com/ChemEngineeringGuy']"
Mufaddal Rasheed,"Mechanical engineer , Inventor and Quora Top Writer","42,741","13,693",https://www.udemy.com/user/mufaddal-rasheed/,"['https://www.school-mechademic.com/udemy-courses/', 'https://www.facebook.com/Mechademic', 'https://linkedin.com/in/mufaddal-rasheed-162a6b44/', 'https://www.youtube.com/channel/UCCut2T_eW99mbj80QRcq9_g?view_as=subscriber']"
Veer Tutorial,Ultimate Destination for All Computer Course,"24,131","4,818",https://www.udemy.com/user/naveen-bhardwaj/,"['http://www.veertutorial.com', 'https://www.facebook.com/virbhardwaj702', 'https://www.youtube.com/https://www.youtube.com/channel/UCbrl7ZdS7Ju6zCmE7xSt5Nw']"
Able Lingo ASL,American Sign Language (ASL) Made Simple & Easy,"28,348","2,488",https://www.udemy.com/user/able-english/,"['https://AbleLingo.com/', 'https://twitter.com/AbleLingo_ASL', 'https://www.facebook.com/AbleLingo.asl/', 'https://www.youtube.com/AbleLingoASL']"
Benedict Atchley,Latin Teacher and Student,"6,913",977,https://www.udemy.com/user/benedict-atchley/,[]
Musicians Inspired,"70,000+ Students, 8,000+ Reviews, 11 Courses","73,085","8,868",https://www.udemy.com/user/robgee2/,"['https://www.musiciansinspired.com/', 'https://www.youtube.com/channel/UCnlxlDrSSk_2PyLW_7qKRcg']"
Hugo Garza,Content Creator,"27,468","1,200",https://www.udemy.com/user/hugo-garza-8/,"['https://hugoagarza.com/', 'https://www.facebook.com/spanishwithhugo/', 'https://linkedin.com/in/hugo-garza-a74606157/', 'https://www.youtube.com/c/HugotheBrainwasher']"
Patrick O'Mahoney,English Teacher / Linguist,"22,088",946,https://www.udemy.com/user/brendanomahoneygmailcom/,[]
Abdul Wahid,MSc Occupational Psychology and Arabic Studies,"5,797",945,https://www.udemy.com/user/3a2545b0-ca3d-4a1a-b598-e7d975030b15/,"['http://www.beginarabic.com', 'https://twitter.com/http://twitter.com/beginarabic', 'https://www.facebook.com/http://www.facebook.com/beginarabic.co.uk', 'https://www.youtube.com/https://www.youtube.com/channel/UCqRqflTZ30K9SjqsQo9bWsQ']"
Ron Hogue,Trainer since 1998,"12,049","1,483",https://www.udemy.com/user/ronhogue/,"['https://www.cammastery.com', 'https://www.youtube.com/channel/UCahtzibg6-7l8dmQEHcedxA/']"
Scott Paton,"Executive Producer (42 Podcasts, 100+ courses)","659,931","13,797",https://www.udemy.com/user/scottpaton/,"['http://www.powerpodcasters.com', 'https://twitter.com/scottpaton', 'https://www.facebook.com/scottapaton', 'https://linkedin.com/in/scottpaton', 'https://www.youtube.com/c/Podcasting-Unleashed']"
Glen McCready,"Professional Actor, Voiceover Artist, Speech Coach","4,524",708,https://www.udemy.com/user/mark-slocombe/,"['https://thespeechcoach.pro/', 'https://twitter.com/speechcoach_pro', 'https://www.facebook.com/thespeechcoach.pro/']"
Clare Lynch,Cambridge University writing tutor & professional copywriter,"263,478","91,818",https://www.udemy.com/user/clarelynch/,"['http://www.broomandmoon.com', 'https://linkedin.com/in/clarelynch', 'https://www.youtube.com/c/DrClareLynch']"
Öznur Ekinci,Turkish Teacher,"2,748",706,https://www.udemy.com/user/oznur-cigala/,[]
Eliott Wertheimer,Aerospace Engineer and Founder @FuroSystems,"13,608","3,585",https://www.udemy.com/user/eliottwertheimer/,[]
Language Studio,An online language school,"25,017",699,https://www.udemy.com/user/english-studio-22/,[]
